timestamp,id_uczestnika,id_sesji,id_proby,typ_bodzca,warunek,bodziec_obecny,poziom_bodzca,odpowiedz,czas_reakcji_ms,czy_poprawna,klasa_wyniku,pewnosc
2026-03-08T12:36:57,ja_01,sesja_01,25,wzrok,pilot,0,0.0,0,,1,TN
2026-03-08T12:37:00,ja_01,sesja_01,26,wzrok,pilot,0,0.0,0,,1,TN
2026-03-08T12:37:02,ja_01,sesja_01,27,wzrok,pilot,0,0.0,0,,1,TN
2026-03-08T12:37:04,ja_01,sesja_01,28,wzrok,pilot,0,0.0,0,,1,TN
2026-03-08T12:37:06,ja_01,sesja_01,29,wzrok,pilot,0,0.0,0,,1,TN
2026-03-08T12:37:08,ja_01,sesja_01,30,wzrok,pilot,1,0.12,0,,0,FN
2026-03-08T12:37:09,ja_01,sesja_01,31,wzrok,pilot,1,0.16,1,457,1,TP
2026-03-08T12:37:10,ja_01,sesja_01,32,wzrok,pilot,1,0.16,1,259,1,TP
2026-03-08T12:37:12,ja_01,sesja_01,33,wzrok,pilot,0,0.0,0,1389,1,TN
2026-03-08T12:37:13,ja_01,sesja_01,34,wzrok,pilot,1,0.08,1,318,1,TP
2026-03-08T12:37:14,ja_01,sesja_01,35,wzrok,pilot,1,0.12,1,295,1,TP
2026-03-08T12:37:15,ja_01,sesja_01,36,wzrok,pilot,1,0.08,1,255,1,TP
2026-03-08T12:37:16,ja_01,sesja_01,37,wzrok,pilot,1,0.08,1,228,1,TP
2026-03-08T12:37:17,ja_01,sesja_01,38,wzrok,pilot,1,0.12,1,185,1,TP
2026-03-08T12:37:17,ja_01,sesja_01,39,wzrok,pilot,1,0.08,1,159,1,TP
2026-03-08T12:37:18,ja_01,sesja_01,40,wzrok,pilot,1,0.16,1,162,1,TP
2026-03-08T12:37:20,ja_01,sesja_01,41,wzrok,pilot,0,0.0,0,757,1,TN
2026-03-08T12:37:21,ja_01,sesja_01,42,wzrok,pilot,1,0.08,0,304,0,FN
2026-03-08T12:37:21,ja_01,sesja_01,43,wzrok,pilot,1,0.12,1,291,1,TP
2026-03-08T12:37:22,ja_01,sesja_01,44,wzrok,pilot,0,0.0,0,329,1,TN
2026-03-08T12:37:23,ja_01,sesja_01,45,wzrok,pilot,1,0.16,1,198,1,TP
2026-03-08T12:37:24,ja_01,sesja_01,46,wzrok,pilot,1,0.12,1,196,1,TP
2026-03-08T12:37:25,ja_01,sesja_01,47,wzrok,pilot,1,0.08,0,276,0,FN
