id_sesji,warunek,alpha,beta,gamma,lapse,threshold_75,n_trials_signal,n_levels,fit_success,nll
sesja_01,pilot,0.10119133574227585,0.04513821499569843,0.4,0.0,0.11637909189896767,58,3,True,30.636182896897243
sesja_02,pilot,-0.92,0.00010000000000000026,0.4,0.0,-0.9199663527763379,30,3,True,2.999999916654206e-08
sesja_03,wieczor,-0.026173412828969057,0.0280473999886311,0.0,0.0,0.0046398054637308735,50,4,True,10.577955335231222
sesja_04,rano,0.02641278045050829,0.0014315182387064178,0.0,0.03226150269534729,0.028183251312297798,50,4,True,10.811102139398862
sesja_05,po pracy,0.027519559043314348,0.0010343995629350999,0.0,0.030303886391925654,0.028789623703849226,50,5,True,7.620689847323034
sesja_06,popoludniu,0.02011210131302388,0.0004756088890375723,0.0,0.0,0.020634611083120345,50,5,True,4.999999861090343e-08
sesja_07,po pracy,0.02644292620814186,0.0014144118342186093,0.24998632222291492,0.02941350995754326,0.02760040389587206,50,5,True,10.202881077510854
